기준년월,행정동명,방문자 구분,방문자 수
20260201,동명동,외지인방문자(b),12915.0
20260201,동명동,전체방문자(a+b),22498.0
20260201,동명동,현지인방문자(a),9583.0
20260202,동명동,외지인방문자(b),8092.0
20260202,동명동,전체방문자(a+b),18627.0
20260202,동명동,현지인방문자(a),10535.0
20260203,동명동,외지인방문자(b),9782.0
20260203,동명동,전체방문자(a+b),21228.0
20260203,동명동,현지인방문자(a),11445.0
20260204,동명동,외지인방문자(b),10308.0
20260204,동명동,전체방문자(a+b),22054.0
20260204,동명동,현지인방문자(a),11746.0
20260205,동명동,외지인방문자(b),11242.0
20260205,동명동,전체방문자(a+b),22838.0
20260205,동명동,현지인방문자(a),11596.0
20260206,동명동,외지인방문자(b),12414.0
20260206,동명동,전체방문자(a+b),24381.0
20260206,동명동,현지인방문자(a),11966.0
20260207,동명동,외지인방문자(b),17224.0
20260207,동명동,전체방문자(a+b),27020.0
20260207,동명동,현지인방문자(a),9796.0
20260208,동명동,외지인방문자(b),12120.0
20260208,동명동,전체방문자(a+b),20800.0
20260208,동명동,현지인방문자(a),8680.0
20260209,동명동,외지인방문자(b),10234.0
20260209,동명동,전체방문자(a+b),21077.0
20260209,동명동,현지인방문자(a),10843.0
20260210,동명동,외지인방문자(b),10622.0
20260210,동명동,전체방문자(a+b),21560.0
20260210,동명동,현지인방문자(a),10938.0
20260211,동명동,외지인방문자(b),11298.0
20260211,동명동,전체방문자(a+b),23023.0
20260211,동명동,현지인방문자(a),11725.0
20260212,동명동,외지인방문자(b),12971.0
20260212,동명동,전체방문자(a+b),25186.0
20260212,동명동,현지인방문자(a),12215.0
20260213,동명동,외지인방문자(b),15564.0
20260213,동명동,전체방문자(a+b),27846.0
20260213,동명동,현지인방문자(a),12282.0
20260214,동명동,외지인방문자(b),22158.0
20260214,동명동,전체방문자(a+b),31944.0
20260214,동명동,현지인방문자(a),9786.0
20260215,동명동,외지인방문자(b),20822.0
20260215,동명동,전체방문자(a+b),29645.0
20260215,동명동,현지인방문자(a),8824.0
20260216,동명동,외지인방문자(b),16306.0
20260216,동명동,전체방문자(a+b),23009.0
20260216,동명동,현지인방문자(a),6702.0
20260217,동명동,외지인방문자(b),13738.0
20260217,동명동,전체방문자(a+b),19688.0
20260217,동명동,현지인방문자(a),5950.0
20260218,동명동,외지인방문자(b),15880.0
20260218,동명동,전체방문자(a+b),23698.0
20260218,동명동,현지인방문자(a),7819.0
20260219,동명동,외지인방문자(b),13058.0
20260219,동명동,전체방문자(a+b),23796.0
20260219,동명동,현지인방문자(a),10738.0
20260220,동명동,외지인방문자(b),15589.0
20260220,동명동,전체방문자(a+b),27444.0
20260220,동명동,현지인방문자(a),11854.0
20260221,동명동,외지인방문자(b),20604.0
20260221,동명동,전체방문자(a+b),30842.0
20260221,동명동,현지인방문자(a),10238.0
20260222,동명동,외지인방문자(b),14872.0
20260222,동명동,전체방문자(a+b),24304.0
20260222,동명동,현지인방문자(a),9432.0
20260223,동명동,외지인방문자(b),11522.0
20260223,동명동,전체방문자(a+b),22596.0
20260223,동명동,현지인방문자(a),11074.0
20260224,동명동,외지인방문자(b),11154.0
20260224,동명동,전체방문자(a+b),21704.0
20260224,동명동,현지인방문자(a),10549.0
20260225,동명동,외지인방문자(b),14644.0
20260225,동명동,전체방문자(a+b),26856.0
20260225,동명동,현지인방문자(a),12212.0
20260226,동명동,외지인방문자(b),14046.0
20260226,동명동,전체방문자(a+b),26218.0
20260226,동명동,현지인방문자(a),12173.0
20260227,동명동,외지인방문자(b),15292.0
20260227,동명동,전체방문자(a+b),27447.0
20260227,동명동,현지인방문자(a),12156.0
20260228,동명동,외지인방문자(b),22561.0
20260228,동명동,전체방문자(a+b),33278.0
20260228,동명동,현지인방문자(a),10717.0
