기준년월,행정동명,방문자 구분,방문자 수
20250501,충장동,외지인방문자(b),40705.0
20250501,충장동,전체방문자(a+b),64134.0
20250501,충장동,현지인방문자(a),23429.0
20250502,충장동,외지인방문자(b),49774.0
20250502,충장동,전체방문자(a+b),77500.0
20250502,충장동,현지인방문자(a),27727.0
20250503,충장동,외지인방문자(b),65695.0
20250503,충장동,전체방문자(a+b),87178.0
20250503,충장동,현지인방문자(a),21483.0
20250504,충장동,외지인방문자(b),66346.0
20250504,충장동,전체방문자(a+b),86366.0
20250504,충장동,현지인방문자(a),20020.0
20250505,충장동,외지인방문자(b),60816.0
20250505,충장동,전체방문자(a+b),80252.0
20250505,충장동,현지인방문자(a),19436.0
20250506,충장동,외지인방문자(b),47180.0
20250506,충장동,전체방문자(a+b),67984.0
20250506,충장동,현지인방문자(a),20804.0
20250507,충장동,외지인방문자(b),33044.0
20250507,충장동,전체방문자(a+b),60872.0
20250507,충장동,현지인방문자(a),27828.0
20250508,충장동,외지인방문자(b),34626.0
20250508,충장동,전체방문자(a+b),62366.0
20250508,충장동,현지인방문자(a),27741.0
20250509,충장동,외지인방문자(b),35550.0
20250509,충장동,전체방문자(a+b),61800.0
20250509,충장동,현지인방문자(a),26250.0
20250510,충장동,외지인방문자(b),56088.0
20250510,충장동,전체방문자(a+b),78827.0
20250510,충장동,현지인방문자(a),22740.0
20250511,충장동,외지인방문자(b),48734.0
20250511,충장동,전체방문자(a+b),69993.0
20250511,충장동,현지인방문자(a),21259.0
20250512,충장동,외지인방문자(b),34160.0
20250512,충장동,전체방문자(a+b),61096.0
20250512,충장동,현지인방문자(a),26936.0
20250513,충장동,외지인방문자(b),35259.0
20250513,충장동,전체방문자(a+b),62615.0
20250513,충장동,현지인방문자(a),27356.0
20250514,충장동,외지인방문자(b),36652.0
20250514,충장동,전체방문자(a+b),64533.0
20250514,충장동,현지인방문자(a),27881.0
20250515,충장동,외지인방문자(b),37656.0
20250515,충장동,전체방문자(a+b),64400.0
20250515,충장동,현지인방문자(a),26744.0
20250516,충장동,외지인방문자(b),42654.0
20250516,충장동,전체방문자(a+b),69464.0
20250516,충장동,현지인방문자(a),26810.0
20250517,충장동,외지인방문자(b),98952.0
20250517,충장동,전체방문자(a+b),126364.0
20250517,충장동,현지인방문자(a),27412.0
20250518,충장동,외지인방문자(b),60630.0
20250518,충장동,전체방문자(a+b),82817.0
20250518,충장동,현지인방문자(a),22186.0
20250519,충장동,외지인방문자(b),33166.0
20250519,충장동,전체방문자(a+b),59416.0
20250519,충장동,현지인방문자(a),26250.0
20250520,충장동,외지인방문자(b),34814.0
20250520,충장동,전체방문자(a+b),61971.0
20250520,충장동,현지인방문자(a),27156.0
20250521,충장동,외지인방문자(b),36054.0
20250521,충장동,전체방문자(a+b),63294.0
20250521,충장동,현지인방문자(a),27240.0
20250522,충장동,외지인방문자(b),36974.0
20250522,충장동,전체방문자(a+b),64141.0
20250522,충장동,현지인방문자(a),27167.0
20250523,충장동,외지인방문자(b),43015.0
20250523,충장동,전체방문자(a+b),71270.0
20250523,충장동,현지인방문자(a),28256.0
20250524,충장동,외지인방문자(b),65744.0
20250524,충장동,전체방문자(a+b),89418.0
20250524,충장동,현지인방문자(a),23674.0
20250525,충장동,외지인방문자(b),52010.0
20250525,충장동,전체방문자(a+b),73605.0
20250525,충장동,현지인방문자(a),21595.0
20250526,충장동,외지인방문자(b),34769.0
20250526,충장동,전체방문자(a+b),61204.0
20250526,충장동,현지인방문자(a),26436.0
20250527,충장동,외지인방문자(b),35500.0
20250527,충장동,전체방문자(a+b),62461.0
20250527,충장동,현지인방문자(a),26960.0
20250528,충장동,외지인방문자(b),37510.0
20250528,충장동,전체방문자(a+b),64435.0
20250528,충장동,현지인방문자(a),26926.0
20250529,충장동,외지인방문자(b),39102.0
20250529,충장동,전체방문자(a+b),66440.0
20250529,충장동,현지인방문자(a),27338.0
20250530,충장동,외지인방문자(b),43256.0
20250530,충장동,전체방문자(a+b),70966.0
20250530,충장동,현지인방문자(a),27710.0
20250531,충장동,외지인방문자(b),62867.0
20250531,충장동,전체방문자(a+b),86212.0
20250531,충장동,현지인방문자(a),23345.0
