기준년월,행정동명,방문자 구분,방문자 수
20251001,충장동,외지인방문자(b),37674.0
20251001,충장동,전체방문자(a+b),66910.0
20251001,충장동,현지인방문자(a),29236.0
20251002,충장동,외지인방문자(b),40810.0
20251002,충장동,전체방문자(a+b),69752.0
20251002,충장동,현지인방문자(a),28942.0
20251003,충장동,외지인방문자(b),56822.0
20251003,충장동,전체방문자(a+b),78827.0
20251003,충장동,현지인방문자(a),22004.0
20251004,충장동,외지인방문자(b),66549.0
20251004,충장동,전체방문자(a+b),88837.0
20251004,충장동,현지인방문자(a),22288.0
20251005,충장동,외지인방문자(b),48766.0
20251005,충장동,전체방문자(a+b),65300.0
20251005,충장동,현지인방문자(a),16534.0
20251006,충장동,외지인방문자(b),38104.0
20251006,충장동,전체방문자(a+b),51292.0
20251006,충장동,현지인방문자(a),13188.0
20251007,충장동,외지인방문자(b),62240.0
20251007,충장동,전체방문자(a+b),79936.0
20251007,충장동,현지인방문자(a),17696.0
20251008,충장동,외지인방문자(b),64015.0
20251008,충장동,전체방문자(a+b),84466.0
20251008,충장동,현지인방문자(a),20450.0
20251009,충장동,외지인방문자(b),54772.0
20251009,충장동,전체방문자(a+b),75946.0
20251009,충장동,현지인방문자(a),21175.0
20251010,충장동,외지인방문자(b),51569.0
20251010,충장동,전체방문자(a+b),78964.0
20251010,충장동,현지인방문자(a),27394.0
20251011,충장동,외지인방문자(b),57932.0
20251011,충장동,전체방문자(a+b),81683.0
20251011,충장동,현지인방문자(a),23751.0
20251012,충장동,외지인방문자(b),42088.0
20251012,충장동,전체방문자(a+b),63175.0
20251012,충장동,현지인방문자(a),21088.0
20251013,충장동,외지인방문자(b),31451.0
20251013,충장동,전체방문자(a+b),58370.0
20251013,충장동,현지인방문자(a),26918.0
20251014,충장동,외지인방문자(b),33100.0
20251014,충장동,전체방문자(a+b),60806.0
20251014,충장동,현지인방문자(a),27706.0
20251015,충장동,외지인방문자(b),43004.0
20251015,충장동,전체방문자(a+b),73591.0
20251015,충장동,현지인방문자(a),30586.0
20251016,충장동,외지인방문자(b),45874.0
20251016,충장동,전체방문자(a+b),76069.0
20251016,충장동,현지인방문자(a),30194.0
20251017,충장동,외지인방문자(b),50141.0
20251017,충장동,전체방문자(a+b),80444.0
20251017,충장동,현지인방문자(a),30303.0
20251018,충장동,외지인방문자(b),93306.0
20251018,충장동,전체방문자(a+b),123512.0
20251018,충장동,현지인방문자(a),30205.0
20251019,충장동,외지인방문자(b),72376.0
20251019,충장동,전체방문자(a+b),99463.0
20251019,충장동,현지인방문자(a),27086.0
20251020,충장동,외지인방문자(b),33257.0
20251020,충장동,전체방문자(a+b),60004.0
20251020,충장동,현지인방문자(a),26747.0
20251021,충장동,외지인방문자(b),34545.0
20251021,충장동,전체방문자(a+b),60816.0
20251021,충장동,현지인방문자(a),26271.0
20251022,충장동,외지인방문자(b),35805.0
20251022,충장동,전체방문자(a+b),63004.0
20251022,충장동,현지인방문자(a),27198.0
20251023,충장동,외지인방문자(b),38304.0
20251023,충장동,전체방문자(a+b),65454.0
20251023,충장동,현지인방문자(a),27150.0
20251024,충장동,외지인방문자(b),44394.0
20251024,충장동,전체방문자(a+b),71848.0
20251024,충장동,현지인방문자(a),27454.0
20251025,충장동,외지인방문자(b),65516.0
20251025,충장동,전체방문자(a+b),89600.0
20251025,충장동,현지인방문자(a),24084.0
20251026,충장동,외지인방문자(b),50950.0
20251026,충장동,전체방문자(a+b),72226.0
20251026,충장동,현지인방문자(a),21276.0
20251027,충장동,외지인방문자(b),33649.0
20251027,충장동,전체방문자(a+b),60028.0
20251027,충장동,현지인방문자(a),26380.0
20251028,충장동,외지인방문자(b),37065.0
20251028,충장동,전체방문자(a+b),63539.0
20251028,충장동,현지인방문자(a),26474.0
20251029,충장동,외지인방문자(b),37891.0
20251029,충장동,전체방문자(a+b),65516.0
20251029,충장동,현지인방문자(a),27626.0
20251030,충장동,외지인방문자(b),36540.0
20251030,충장동,전체방문자(a+b),63483.0
20251030,충장동,현지인방문자(a),26943.0
20251031,충장동,외지인방문자(b),44128.0
20251031,충장동,전체방문자(a+b),72310.0
20251031,충장동,현지인방문자(a),28182.0
