기준년월,행정동명,방문자 구분,방문자 수
20251101,동명동,외지인방문자(b),18854.0
20251101,동명동,전체방문자(a+b),30670.0
20251101,동명동,현지인방문자(a),11816.0
20251102,동명동,외지인방문자(b),13412.0
20251102,동명동,전체방문자(a+b),24090.0
20251102,동명동,현지인방문자(a),10678.0
20251103,동명동,외지인방문자(b),10010.0
20251103,동명동,전체방문자(a+b),23488.0
20251103,동명동,현지인방문자(a),13478.0
20251104,동명동,외지인방문자(b),11364.0
20251104,동명동,전체방문자(a+b),26078.0
20251104,동명동,현지인방문자(a),14714.0
20251105,동명동,외지인방문자(b),11879.0
20251105,동명동,전체방문자(a+b),26618.0
20251105,동명동,현지인방문자(a),14738.0
20251106,동명동,외지인방문자(b),11893.0
20251106,동명동,전체방문자(a+b),26537.0
20251106,동명동,현지인방문자(a),14644.0
20251107,동명동,외지인방문자(b),14080.0
20251107,동명동,전체방문자(a+b),28861.0
20251107,동명동,현지인방문자(a),14780.0
20251108,동명동,외지인방문자(b),19299.0
20251108,동명동,전체방문자(a+b),31020.0
20251108,동명동,현지인방문자(a),11722.0
20251109,동명동,외지인방문자(b),13920.0
20251109,동명동,전체방문자(a+b),24766.0
20251109,동명동,현지인방문자(a),10846.0
20251110,동명동,외지인방문자(b),10258.0
20251110,동명동,전체방문자(a+b),24122.0
20251110,동명동,현지인방문자(a),13864.0
20251111,동명동,외지인방문자(b),12268.0
20251111,동명동,전체방문자(a+b),26740.0
20251111,동명동,현지인방문자(a),14472.0
20251112,동명동,외지인방문자(b),12260.0
20251112,동명동,전체방문자(a+b),26362.0
20251112,동명동,현지인방문자(a),14102.0
20251113,동명동,외지인방문자(b),13034.0
20251113,동명동,전체방문자(a+b),27108.0
20251113,동명동,현지인방문자(a),14074.0
20251114,동명동,외지인방문자(b),15158.0
20251114,동명동,전체방문자(a+b),29452.0
20251114,동명동,현지인방문자(a),14294.0
20251115,동명동,외지인방문자(b),19912.0
20251115,동명동,전체방문자(a+b),31080.0
20251115,동명동,현지인방문자(a),11168.0
20251116,동명동,외지인방문자(b),14108.0
20251116,동명동,전체방문자(a+b),24546.0
20251116,동명동,현지인방문자(a),10437.0
20251117,동명동,외지인방문자(b),10636.0
20251117,동명동,전체방문자(a+b),23810.0
20251117,동명동,현지인방문자(a),13174.0
20251118,동명동,외지인방문자(b),11518.0
20251118,동명동,전체방문자(a+b),25249.0
20251118,동명동,현지인방문자(a),13730.0
20251119,동명동,외지인방문자(b),11844.0
20251119,동명동,전체방문자(a+b),25795.0
20251119,동명동,현지인방문자(a),13951.0
20251120,동명동,외지인방문자(b),12803.0
20251120,동명동,전체방문자(a+b),27226.0
20251120,동명동,현지인방문자(a),14424.0
20251121,동명동,외지인방문자(b),14234.0
20251121,동명동,전체방문자(a+b),28472.0
20251121,동명동,현지인방문자(a),14238.0
20251122,동명동,외지인방문자(b),19040.0
20251122,동명동,전체방문자(a+b),30440.0
20251122,동명동,현지인방문자(a),11400.0
20251123,동명동,외지인방문자(b),14038.0
20251123,동명동,전체방문자(a+b),24546.0
20251123,동명동,현지인방문자(a),10507.0
20251124,동명동,외지인방문자(b),10616.0
20251124,동명동,전체방문자(a+b),24090.0
20251124,동명동,현지인방문자(a),13475.0
20251125,동명동,외지인방문자(b),11266.0
20251125,동명동,전체방문자(a+b),24955.0
20251125,동명동,현지인방문자(a),13688.0
20251126,동명동,외지인방문자(b),12481.0
20251126,동명동,전체방문자(a+b),26796.0
20251126,동명동,현지인방문자(a),14315.0
20251127,동명동,외지인방문자(b),12036.0
20251127,동명동,전체방문자(a+b),25823.0
20251127,동명동,현지인방문자(a),13786.0
20251128,동명동,외지인방문자(b),14592.0
20251128,동명동,전체방문자(a+b),28606.0
20251128,동명동,현지인방문자(a),14014.0
20251129,동명동,외지인방문자(b),20632.0
20251129,동명동,전체방문자(a+b),31902.0
20251129,동명동,현지인방문자(a),11270.0
20251130,동명동,외지인방문자(b),14620.0
20251130,동명동,전체방문자(a+b),25414.0
20251130,동명동,현지인방문자(a),10794.0
