기준년월,행정동명,방문자 구분,방문자 수
20250301,충장동,외지인방문자(b),56276.0
20250301,충장동,전체방문자(a+b),76352.0
20250301,충장동,현지인방문자(a),20076.0
20250302,충장동,외지인방문자(b),53686.0
20250302,충장동,전체방문자(a+b),72922.0
20250302,충장동,현지인방문자(a),19236.0
20250303,충장동,외지인방문자(b),45990.0
20250303,충장동,전체방문자(a+b),66087.0
20250303,충장동,현지인방문자(a),20097.0
20250304,충장동,외지인방문자(b),31280.0
20250304,충장동,전체방문자(a+b),54929.0
20250304,충장동,현지인방문자(a),23650.0
20250305,충장동,외지인방문자(b),33264.0
20250305,충장동,전체방문자(a+b),58086.0
20250305,충장동,현지인방문자(a),24822.0
20250306,충장동,외지인방문자(b),35388.0
20250306,충장동,전체방문자(a+b),60518.0
20250306,충장동,현지인방문자(a),25130.0
20250307,충장동,외지인방문자(b),38770.0
20250307,충장동,전체방문자(a+b),64530.0
20250307,충장동,현지인방문자(a),25760.0
20250308,충장동,외지인방문자(b),56784.0
20250308,충장동,전체방문자(a+b),78992.0
20250308,충장동,현지인방문자(a),22208.0
20250309,충장동,외지인방문자(b),46462.0
20250309,충장동,전체방문자(a+b),66276.0
20250309,충장동,현지인방문자(a),19814.0
20250310,충장동,외지인방문자(b),34692.0
20250310,충장동,전체방문자(a+b),59700.0
20250310,충장동,현지인방문자(a),25008.0
20250311,충장동,외지인방문자(b),35651.0
20250311,충장동,전체방문자(a+b),60260.0
20250311,충장동,현지인방문자(a),24608.0
20250312,충장동,외지인방문자(b),36124.0
20250312,충장동,전체방문자(a+b),61212.0
20250312,충장동,현지인방문자(a),25088.0
20250313,충장동,외지인방문자(b),35644.0
20250313,충장동,전체방문자(a+b),60725.0
20250313,충장동,현지인방문자(a),25081.0
20250314,충장동,외지인방문자(b),41744.0
20250314,충장동,전체방문자(a+b),67515.0
20250314,충장동,현지인방문자(a),25770.0
20250315,충장동,외지인방문자(b),57736.0
20250315,충장동,전체방문자(a+b),79272.0
20250315,충장동,현지인방문자(a),21536.0
20250316,충장동,외지인방문자(b),42637.0
20250316,충장동,전체방문자(a+b),61236.0
20250316,충장동,현지인방문자(a),18599.0
20250317,충장동,외지인방문자(b),33089.0
20250317,충장동,전체방문자(a+b),56322.0
20250317,충장동,현지인방문자(a),23233.0
20250318,충장동,외지인방문자(b),31465.0
20250318,충장동,전체방문자(a+b),54355.0
20250318,충장동,현지인방문자(a),22890.0
20250319,충장동,외지인방문자(b),35063.0
20250319,충장동,전체방문자(a+b),59468.0
20250319,충장동,현지인방문자(a),24406.0
20250320,충장동,외지인방문자(b),37404.0
20250320,충장동,전체방문자(a+b),62108.0
20250320,충장동,현지인방문자(a),24703.0
20250321,충장동,외지인방문자(b),42374.0
20250321,충장동,전체방문자(a+b),67753.0
20250321,충장동,현지인방문자(a),25378.0
20250322,충장동,외지인방문자(b),60420.0
20250322,충장동,전체방문자(a+b),82008.0
20250322,충장동,현지인방문자(a),21588.0
20250323,충장동,외지인방문자(b),46610.0
20250323,충장동,전체방문자(a+b),66468.0
20250323,충장동,현지인방문자(a),19859.0
20250324,충장동,외지인방문자(b),35256.0
20250324,충장동,전체방문자(a+b),59412.0
20250324,충장동,현지인방문자(a),24157.0
20250325,충장동,외지인방문자(b),36746.0
20250325,충장동,전체방문자(a+b),61432.0
20250325,충장동,현지인방문자(a),24686.0
20250326,충장동,외지인방문자(b),39557.0
20250326,충장동,전체방문자(a+b),65009.0
20250326,충장동,현지인방문자(a),25452.0
20250327,충장동,외지인방문자(b),36466.0
20250327,충장동,전체방문자(a+b),60725.0
20250327,충장동,현지인방문자(a),24258.0
20250328,충장동,외지인방문자(b),41402.0
20250328,충장동,전체방문자(a+b),66143.0
20250328,충장동,현지인방문자(a),24742.0
20250329,충장동,외지인방문자(b),54320.0
20250329,충장동,전체방문자(a+b),74386.0
20250329,충장동,현지인방문자(a),20066.0
20250330,충장동,외지인방문자(b),42662.0
20250330,충장동,전체방문자(a+b),60932.0
20250330,충장동,현지인방문자(a),18270.0
20250331,충장동,외지인방문자(b),34853.0
20250331,충장동,전체방문자(a+b),58580.0
20250331,충장동,현지인방문자(a),23726.0
