기준년월,행정동명,방문자 구분,방문자 수
20250101,충장동,외지인방문자(b),38392.0
20250101,충장동,전체방문자(a+b),57099.0
20250101,충장동,현지인방문자(a),18708.0
20250102,충장동,외지인방문자(b),31808.0
20250102,충장동,전체방문자(a+b),56046.0
20250102,충장동,현지인방문자(a),24238.0
20250103,충장동,외지인방문자(b),34240.0
20250103,충장동,전체방문자(a+b),59518.0
20250103,충장동,현지인방문자(a),25277.0
20250104,충장동,외지인방문자(b),49164.0
20250104,충장동,전체방문자(a+b),70410.0
20250104,충장동,현지인방문자(a),21245.0
20250105,충장동,외지인방문자(b),34167.0
20250105,충장동,전체방문자(a+b),52440.0
20250105,충장동,현지인방문자(a),18274.0
20250106,충장동,외지인방문자(b),30429.0
20250106,충장동,전체방문자(a+b),54764.0
20250106,충장동,현지인방문자(a),24336.0
20250107,충장동,외지인방문자(b),26730.0
20250107,충장동,전체방문자(a+b),50550.0
20250107,충장동,현지인방문자(a),23821.0
20250108,충장동,외지인방문자(b),30586.0
20250108,충장동,전체방문자(a+b),55888.0
20250108,충장동,현지인방문자(a),25302.0
20250109,충장동,외지인방문자(b),26852.0
20250109,충장동,전체방문자(a+b),50323.0
20250109,충장동,현지인방문자(a),23471.0
20250110,충장동,외지인방문자(b),34346.0
20250110,충장동,전체방문자(a+b),59563.0
20250110,충장동,현지인방문자(a),25218.0
20250111,충장동,외지인방문자(b),48202.0
20250111,충장동,전체방문자(a+b),69195.0
20250111,충장동,현지인방문자(a),20993.0
20250112,충장동,외지인방문자(b),39403.0
20250112,충장동,전체방문자(a+b),58160.0
20250112,충장동,현지인방문자(a),18756.0
20250113,충장동,외지인방문자(b),33537.0
20250113,충장동,전체방문자(a+b),58590.0
20250113,충장동,현지인방문자(a),25053.0
20250114,충장동,외지인방문자(b),33946.0
20250114,충장동,전체방문자(a+b),58947.0
20250114,충장동,현지인방문자(a),25000.0
20250115,충장동,외지인방문자(b),33666.0
20250115,충장동,전체방문자(a+b),58716.0
20250115,충장동,현지인방문자(a),25050.0
20250116,충장동,외지인방문자(b),35189.0
20250116,충장동,전체방문자(a+b),60498.0
20250116,충장동,현지인방문자(a),25308.0
20250117,충장동,외지인방문자(b),38462.0
20250117,충장동,전체방문자(a+b),64701.0
20250117,충장동,현지인방문자(a),26240.0
20250118,충장동,외지인방문자(b),51020.0
20250118,충장동,전체방문자(a+b),71774.0
20250118,충장동,현지인방문자(a),20755.0
20250119,충장동,외지인방문자(b),38566.0
20250119,충장동,전체방문자(a+b),57116.0
20250119,충장동,현지인방문자(a),18550.0
20250120,충장동,외지인방문자(b),34122.0
20250120,충장동,전체방문자(a+b),59280.0
20250120,충장동,현지인방문자(a),25158.0
20250121,충장동,외지인방문자(b),35612.0
20250121,충장동,전체방문자(a+b),61222.0
20250121,충장동,현지인방문자(a),25610.0
20250122,충장동,외지인방문자(b),35266.0
20250122,충장동,전체방문자(a+b),60288.0
20250122,충장동,현지인방문자(a),25022.0
20250123,충장동,외지인방문자(b),37135.0
20250123,충장동,전체방문자(a+b),62618.0
20250123,충장동,현지인방문자(a),25484.0
20250124,충장동,외지인방문자(b),42014.0
20250124,충장동,전체방문자(a+b),69055.0
20250124,충장동,현지인방문자(a),27041.0
20250125,충장동,외지인방문자(b),54236.0
20250125,충장동,전체방문자(a+b),75694.0
20250125,충장동,현지인방문자(a),21458.0
20250126,충장동,외지인방문자(b),50358.0
20250126,충장동,전체방문자(a+b),68824.0
20250126,충장동,현지인방문자(a),18466.0
20250127,충장동,외지인방문자(b),45902.0
20250127,충장동,전체방문자(a+b),63462.0
20250127,충장동,현지인방문자(a),17560.0
20250128,충장동,외지인방문자(b),31612.0
20250128,충장동,전체방문자(a+b),44534.0
20250128,충장동,현지인방문자(a),12922.0
20250129,충장동,외지인방문자(b),27615.0
20250129,충장동,전체방문자(a+b),39431.0
20250129,충장동,현지인방문자(a),11816.0
20250130,충장동,외지인방문자(b),45574.0
20250130,충장동,전체방문자(a+b),62870.0
20250130,충장동,현지인방문자(a),17297.0
20250131,충장동,외지인방문자(b),46008.0
20250131,충장동,전체방문자(a+b),69951.0
20250131,충장동,현지인방문자(a),23944.0
