기준년월,행정동명,방문자 구분,방문자 수
20251201,동명동,외지인방문자(b),9118.0
20251201,동명동,전체방문자(a+b),21766.0
20251201,동명동,현지인방문자(a),12649.0
20251202,동명동,외지인방문자(b),9552.0
20251202,동명동,전체방문자(a+b),22110.0
20251202,동명동,현지인방문자(a),12558.0
20251203,동명동,외지인방문자(b),10650.0
20251203,동명동,전체방문자(a+b),23380.0
20251203,동명동,현지인방문자(a),12730.0
20251204,동명동,외지인방문자(b),10700.0
20251204,동명동,전체방문자(a+b),23443.0
20251204,동명동,현지인방문자(a),12744.0
20251205,동명동,외지인방문자(b),13230.0
20251205,동명동,전체방문자(a+b),26232.0
20251205,동명동,현지인방문자(a),13002.0
20251206,동명동,외지인방문자(b),18372.0
20251206,동명동,전체방문자(a+b),29141.0
20251206,동명동,현지인방문자(a),10770.0
20251207,동명동,외지인방문자(b),13850.0
20251207,동명동,전체방문자(a+b),24283.0
20251207,동명동,현지인방문자(a),10434.0
20251208,동명동,외지인방문자(b),9160.0
20251208,동명동,전체방문자(a+b),21476.0
20251208,동명동,현지인방문자(a),12316.0
20251209,동명동,외지인방문자(b),10563.0
20251209,동명동,전체방문자(a+b),23538.0
20251209,동명동,현지인방문자(a),12974.0
20251210,동명동,외지인방문자(b),11392.0
20251210,동명동,전체방문자(a+b),24647.0
20251210,동명동,현지인방문자(a),13254.0
20251211,동명동,외지인방문자(b),11844.0
20251211,동명동,전체방문자(a+b),25025.0
20251211,동명동,현지인방문자(a),13181.0
20251212,동명동,외지인방문자(b),14248.0
20251212,동명동,전체방문자(a+b),27342.0
20251212,동명동,현지인방문자(a),13094.0
20251213,동명동,외지인방문자(b),18067.0
20251213,동명동,전체방문자(a+b),28416.0
20251213,동명동,현지인방문자(a),10350.0
20251214,동명동,외지인방문자(b),13654.0
20251214,동명동,전체방문자(a+b),23362.0
20251214,동명동,현지인방문자(a),9709.0
20251215,동명동,외지인방문자(b),10006.0
20251215,동명동,전체방문자(a+b),22508.0
20251215,동명동,현지인방문자(a),12502.0
20251216,동명동,외지인방문자(b),11280.0
20251216,동명동,전체방문자(a+b),24297.0
20251216,동명동,현지인방문자(a),13016.0
20251217,동명동,외지인방문자(b),12554.0
20251217,동명동,전체방문자(a+b),25736.0
20251217,동명동,현지인방문자(a),13181.0
20251218,동명동,외지인방문자(b),13426.0
20251218,동명동,전체방문자(a+b),26803.0
20251218,동명동,현지인방문자(a),13377.0
20251219,동명동,외지인방문자(b),16625.0
20251219,동명동,전체방문자(a+b),30520.0
20251219,동명동,현지인방문자(a),13895.0
20251220,동명동,외지인방문자(b),22568.0
20251220,동명동,전체방문자(a+b),34080.0
20251220,동명동,현지인방문자(a),11512.0
20251221,동명동,외지인방문자(b),16128.0
20251221,동명동,전체방문자(a+b),26320.0
20251221,동명동,현지인방문자(a),10192.0
20251222,동명동,외지인방문자(b),12117.0
20251222,동명동,전체방문자(a+b),24416.0
20251222,동명동,현지인방문자(a),12299.0
20251223,동명동,외지인방문자(b),11988.0
20251223,동명동,전체방문자(a+b),24490.0
20251223,동명동,현지인방문자(a),12502.0
20251224,동명동,외지인방문자(b),18165.0
20251224,동명동,전체방문자(a+b),31714.0
20251224,동명동,현지인방문자(a),13548.0
20251225,동명동,외지인방문자(b),26726.0
20251225,동명동,전체방문자(a+b),37362.0
20251225,동명동,현지인방문자(a),10636.0
20251226,동명동,외지인방문자(b),15018.0
20251226,동명동,전체방문자(a+b),26792.0
20251226,동명동,현지인방문자(a),11774.0
20251227,동명동,외지인방문자(b),19719.0
20251227,동명동,전체방문자(a+b),29680.0
20251227,동명동,현지인방문자(a),9961.0
20251228,동명동,외지인방문자(b),15432.0
20251228,동명동,전체방문자(a+b),25284.0
20251228,동명동,현지인방문자(a),9852.0
20251229,동명동,외지인방문자(b),12355.0
20251229,동명동,전체방문자(a+b),24434.0
20251229,동명동,현지인방문자(a),12078.0
20251230,동명동,외지인방문자(b),13286.0
20251230,동명동,전체방문자(a+b),25868.0
20251230,동명동,현지인방문자(a),12582.0
20251231,동명동,외지인방문자(b),16730.0
20251231,동명동,전체방문자(a+b),28840.0
20251231,동명동,현지인방문자(a),12110.0
