기준년월,행정동명,방문자 구분,방문자 수
20250801,동명동,외지인방문자(b),14175.0
20250801,동명동,전체방문자(a+b),25722.0
20250801,동명동,현지인방문자(a),11546.0
20250802,동명동,외지인방문자(b),18336.0
20250802,동명동,전체방문자(a+b),27948.0
20250802,동명동,현지인방문자(a),9611.0
20250803,동명동,외지인방문자(b),11235.0
20250803,동명동,전체방문자(a+b),19635.0
20250803,동명동,현지인방문자(a),8400.0
20250804,동명동,외지인방문자(b),9278.0
20250804,동명동,전체방문자(a+b),20104.0
20250804,동명동,현지인방문자(a),10826.0
20250805,동명동,외지인방문자(b),11284.0
20250805,동명동,전체방문자(a+b),23317.0
20250805,동명동,현지인방문자(a),12033.0
20250806,동명동,외지인방문자(b),10836.0
20250806,동명동,전체방문자(a+b),22799.0
20250806,동명동,현지인방문자(a),11963.0
20250807,동명동,외지인방문자(b),12414.0
20250807,동명동,전체방문자(a+b),24787.0
20250807,동명동,현지인방문자(a),12372.0
20250808,동명동,외지인방문자(b),13808.0
20250808,동명동,전체방문자(a+b),26302.0
20250808,동명동,현지인방문자(a),12495.0
20250809,동명동,외지인방문자(b),16709.0
20250809,동명동,전체방문자(a+b),26652.0
20250809,동명동,현지인방문자(a),9944.0
20250810,동명동,외지인방문자(b),13954.0
20250810,동명동,전체방문자(a+b),23765.0
20250810,동명동,현지인방문자(a),9810.0
20250811,동명동,외지인방문자(b),10703.0
20250811,동명동,전체방문자(a+b),22060.0
20250811,동명동,현지인방문자(a),11358.0
20250812,동명동,외지인방문자(b),11137.0
20250812,동명동,전체방문자(a+b),23170.0
20250812,동명동,현지인방문자(a),12033.0
20250813,동명동,외지인방문자(b),12940.0
20250813,동명동,전체방문자(a+b),25984.0
20250813,동명동,현지인방문자(a),13044.0
20250814,동명동,외지인방문자(b),14844.0
20250814,동명동,전체방문자(a+b),27692.0
20250814,동명동,현지인방문자(a),12848.0
20250815,동명동,외지인방문자(b),17602.0
20250815,동명동,전체방문자(a+b),26940.0
20250815,동명동,현지인방문자(a),9338.0
20250816,동명동,외지인방문자(b),18102.0
20250816,동명동,전체방문자(a+b),27846.0
20250816,동명동,현지인방문자(a),9744.0
20250817,동명동,외지인방문자(b),13258.0
20250817,동명동,전체방문자(a+b),22750.0
20250817,동명동,현지인방문자(a),9492.0
20250818,동명동,외지인방문자(b),11704.0
20250818,동명동,전체방문자(a+b),23768.0
20250818,동명동,현지인방문자(a),12064.0
20250819,동명동,외지인방문자(b),12243.0
20250819,동명동,전체방문자(a+b),24640.0
20250819,동명동,현지인방문자(a),12397.0
20250820,동명동,외지인방문자(b),12036.0
20250820,동명동,전체방문자(a+b),24790.0
20250820,동명동,현지인방문자(a),12754.0
20250821,동명동,외지인방문자(b),13146.0
20250821,동명동,전체방문자(a+b),25774.0
20250821,동명동,현지인방문자(a),12628.0
20250822,동명동,외지인방문자(b),15344.0
20250822,동명동,전체방문자(a+b),28259.0
20250822,동명동,현지인방문자(a),12915.0
20250823,동명동,외지인방문자(b),24714.0
20250823,동명동,전체방문자(a+b),35346.0
20250823,동명동,현지인방문자(a),10633.0
20250824,동명동,외지인방문자(b),18473.0
20250824,동명동,전체방문자(a+b),28276.0
20250824,동명동,현지인방문자(a),9804.0
20250825,동명동,외지인방문자(b),12376.0
20250825,동명동,전체방문자(a+b),24378.0
20250825,동명동,현지인방문자(a),12002.0
20250826,동명동,외지인방문자(b),11806.0
20250826,동명동,전체방문자(a+b),23562.0
20250826,동명동,현지인방문자(a),11756.0
20250827,동명동,외지인방문자(b),12775.0
20250827,동명동,전체방문자(a+b),25424.0
20250827,동명동,현지인방문자(a),12649.0
20250828,동명동,외지인방문자(b),13090.0
20250828,동명동,전체방문자(a+b),26044.0
20250828,동명동,현지인방문자(a),12954.0
20250829,동명동,외지인방문자(b),14760.0
20250829,동명동,전체방문자(a+b),27720.0
20250829,동명동,현지인방문자(a),12960.0
20250830,동명동,외지인방문자(b),18907.0
20250830,동명동,전체방문자(a+b),29578.0
20250830,동명동,현지인방문자(a),10672.0
20250831,동명동,외지인방문자(b),13846.0
20250831,동명동,전체방문자(a+b),23786.0
20250831,동명동,현지인방문자(a),9940.0
