기준년월,행정동명,방문자 구분,방문자 수
20250701,동명동,외지인방문자(b),10213.0
20250701,동명동,전체방문자(a+b),23006.0
20250701,동명동,현지인방문자(a),12792.0
20250702,동명동,외지인방문자(b),10672.0
20250702,동명동,전체방문자(a+b),23552.0
20250702,동명동,현지인방문자(a),12880.0
20250703,동명동,외지인방문자(b),11732.0
20250703,동명동,전체방문자(a+b),25022.0
20250703,동명동,현지인방문자(a),13290.0
20250704,동명동,외지인방문자(b),14476.0
20250704,동명동,전체방문자(a+b),28000.0
20250704,동명동,현지인방문자(a),13524.0
20250705,동명동,외지인방문자(b),19404.0
20250705,동명동,전체방문자(a+b),30254.0
20250705,동명동,현지인방문자(a),10850.0
20250706,동명동,외지인방문자(b),14214.0
20250706,동명동,전체방문자(a+b),23975.0
20250706,동명동,현지인방문자(a),9762.0
20250707,동명동,외지인방문자(b),10196.0
20250707,동명동,전체방문자(a+b),22516.0
20250707,동명동,현지인방문자(a),12320.0
20250708,동명동,외지인방문자(b),11728.0
20250708,동명동,전체방문자(a+b),25070.0
20250708,동명동,현지인방문자(a),13342.0
20250709,동명동,외지인방문자(b),11078.0
20250709,동명동,전체방문자(a+b),24122.0
20250709,동명동,현지인방문자(a),13044.0
20250710,동명동,외지인방문자(b),13034.0
20250710,동명동,전체방문자(a+b),26386.0
20250710,동명동,현지인방문자(a),13352.0
20250711,동명동,외지인방문자(b),15001.0
20250711,동명동,전체방문자(a+b),28756.0
20250711,동명동,현지인방문자(a),13755.0
20250712,동명동,외지인방문자(b),19894.0
20250712,동명동,전체방문자(a+b),30562.0
20250712,동명동,현지인방문자(a),10668.0
20250713,동명동,외지인방문자(b),11984.0
20250713,동명동,전체방문자(a+b),21175.0
20250713,동명동,현지인방문자(a),9191.0
20250714,동명동,외지인방문자(b),10930.0
20250714,동명동,전체방문자(a+b),23348.0
20250714,동명동,현지인방문자(a),12418.0
20250715,동명동,외지인방문자(b),11540.0
20250715,동명동,전체방문자(a+b),24454.0
20250715,동명동,현지인방문자(a),12915.0
20250716,동명동,외지인방문자(b),11816.0
20250716,동명동,전체방문자(a+b),24588.0
20250716,동명동,현지인방문자(a),12772.0
20250717,동명동,외지인방문자(b),6954.0
20250717,동명동,전체방문자(a+b),17546.0
20250717,동명동,현지인방문자(a),10591.0
20250718,동명동,외지인방문자(b),10734.0
20250718,동명동,전체방문자(a+b),22904.0
20250718,동명동,현지인방문자(a),12170.0
20250719,동명동,외지인방문자(b),14760.0
20250719,동명동,전체방문자(a+b),24510.0
20250719,동명동,현지인방문자(a),9751.0
20250720,동명동,외지인방문자(b),14528.0
20250720,동명동,전체방문자(a+b),24787.0
20250720,동명동,현지인방문자(a),10258.0
20250721,동명동,외지인방문자(b),11288.0
20250721,동명동,전체방문자(a+b),23678.0
20250721,동명동,현지인방문자(a),12390.0
20250722,동명동,외지인방문자(b),12803.0
20250722,동명동,전체방문자(a+b),26100.0
20250722,동명동,현지인방문자(a),13296.0
20250723,동명동,외지인방문자(b),13388.0
20250723,동명동,전체방문자(a+b),26264.0
20250723,동명동,현지인방문자(a),12876.0
20250724,동명동,외지인방문자(b),14035.0
20250724,동명동,전체방문자(a+b),27020.0
20250724,동명동,현지인방문자(a),12985.0
20250725,동명동,외지인방문자(b),16496.0
20250725,동명동,전체방문자(a+b),29820.0
20250725,동명동,현지인방문자(a),13324.0
20250726,동명동,외지인방문자(b),19548.0
20250726,동명동,전체방문자(a+b),30096.0
20250726,동명동,현지인방문자(a),10549.0
20250727,동명동,외지인방문자(b),14668.0
20250727,동명동,전체방문자(a+b),24252.0
20250727,동명동,현지인방문자(a),9583.0
20250728,동명동,외지인방문자(b),12124.0
20250728,동명동,전체방문자(a+b),23362.0
20250728,동명동,현지인방문자(a),11238.0
20250729,동명동,외지인방문자(b),13412.0
20250729,동명동,전체방문자(a+b),25280.0
20250729,동명동,현지인방문자(a),11868.0
20250730,동명동,외지인방문자(b),13867.0
20250730,동명동,전체방문자(a+b),25680.0
20250730,동명동,현지인방문자(a),11812.0
20250731,동명동,외지인방문자(b),13559.0
20250731,동명동,전체방문자(a+b),24969.0
20250731,동명동,현지인방문자(a),11410.0
