기준년월,행정동명,방문자 구분,방문자 수
20250901,충장동,외지인방문자(b),32991.0
20250901,충장동,전체방문자(a+b),60606.0
20250901,충장동,현지인방문자(a),27615.0
20250902,충장동,외지인방문자(b),35042.0
20250902,충장동,전체방문자(a+b),63514.0
20250902,충장동,현지인방문자(a),28472.0
20250903,충장동,외지인방문자(b),37600.0
20250903,충장동,전체방문자(a+b),66524.0
20250903,충장동,현지인방문자(a),28924.0
20250904,충장동,외지인방문자(b),33481.0
20250904,충장동,전체방문자(a+b),60788.0
20250904,충장동,현지인방문자(a),27307.0
20250905,충장동,외지인방문자(b),38948.0
20250905,충장동,전체방문자(a+b),67088.0
20250905,충장동,현지인방문자(a),28140.0
20250906,충장동,외지인방문자(b),58950.0
20250906,충장동,전체방문자(a+b),82940.0
20250906,충장동,현지인방문자(a),23989.0
20250907,충장동,외지인방문자(b),40488.0
20250907,충장동,전체방문자(a+b),60602.0
20250907,충장동,현지인방문자(a),20114.0
20250908,충장동,외지인방문자(b),32438.0
20250908,충장동,전체방문자(a+b),59322.0
20250908,충장동,현지인방문자(a),26884.0
20250909,충장동,외지인방문자(b),33498.0
20250909,충장동,전체방문자(a+b),59752.0
20250909,충장동,현지인방문자(a),26254.0
20250910,충장동,외지인방문자(b),38367.0
20250910,충장동,전체방문자(a+b),66668.0
20250910,충장동,현지인방문자(a),28301.0
20250911,충장동,외지인방문자(b),38272.0
20250911,충장동,전체방문자(a+b),65933.0
20250911,충장동,현지인방문자(a),27660.0
20250912,충장동,외지인방문자(b),41332.0
20250912,충장동,전체방문자(a+b),69254.0
20250912,충장동,현지인방문자(a),27923.0
20250913,충장동,외지인방문자(b),56588.0
20250913,충장동,전체방문자(a+b),79114.0
20250913,충장동,현지인방문자(a),22526.0
20250914,충장동,외지인방문자(b),46812.0
20250914,충장동,전체방문자(a+b),67571.0
20250914,충장동,현지인방문자(a),20758.0
20250915,충장동,외지인방문자(b),34430.0
20250915,충장동,전체방문자(a+b),61394.0
20250915,충장동,현지인방문자(a),26964.0
20250916,충장동,외지인방문자(b),34132.0
20250916,충장동,전체방문자(a+b),60974.0
20250916,충장동,현지인방문자(a),26842.0
20250917,충장동,외지인방문자(b),35112.0
20250917,충장동,전체방문자(a+b),62538.0
20250917,충장동,현지인방문자(a),27426.0
20250918,충장동,외지인방문자(b),36858.0
20250918,충장동,전체방문자(a+b),64040.0
20250918,충장동,현지인방문자(a),27181.0
20250919,충장동,외지인방문자(b),43190.0
20250919,충장동,전체방문자(a+b),71634.0
20250919,충장동,현지인방문자(a),28444.0
20250920,충장동,외지인방문자(b),60179.0
20250920,충장동,전체방문자(a+b),83962.0
20250920,충장동,현지인방문자(a),23782.0
20250921,충장동,외지인방문자(b),46130.0
20250921,충장동,전체방문자(a+b),66339.0
20250921,충장동,현지인방문자(a),20209.0
20250922,충장동,외지인방문자(b),35620.0
20250922,충장동,전체방문자(a+b),62730.0
20250922,충장동,현지인방문자(a),27111.0
20250923,충장동,외지인방문자(b),37068.0
20250923,충장동,전체방문자(a+b),64530.0
20250923,충장동,현지인방문자(a),27461.0
20250924,충장동,외지인방문자(b),40887.0
20250924,충장동,전체방문자(a+b),68898.0
20250924,충장동,현지인방문자(a),28010.0
20250925,충장동,외지인방문자(b),37583.0
20250925,충장동,전체방문자(a+b),64169.0
20250925,충장동,현지인방문자(a),26586.0
20250926,충장동,외지인방문자(b),46000.0
20250926,충장동,전체방문자(a+b),75033.0
20250926,충장동,현지인방문자(a),29032.0
20250927,충장동,외지인방문자(b),61383.0
20250927,충장동,전체방문자(a+b),85242.0
20250927,충장동,현지인방문자(a),23860.0
20250928,충장동,외지인방문자(b),45266.0
20250928,충장동,전체방문자(a+b),65569.0
20250928,충장동,현지인방문자(a),20304.0
20250929,충장동,외지인방문자(b),37202.0
20250929,충장동,전체방문자(a+b),65051.0
20250929,충장동,현지인방문자(a),27850.0
20250930,충장동,외지인방문자(b),43281.0
20250930,충장동,전체방문자(a+b),72412.0
20250930,충장동,현지인방문자(a),29130.0
