기준년월,행정동명,중분류,소비액(천원)
202501,계림1동,관광총소비,983031.0
202502,계림1동,관광총소비,917332.0
202503,계림1동,관광총소비,1107463.0
202504,계림1동,관광총소비,941111.0
202505,계림1동,관광총소비,1060705.0
202506,계림1동,관광총소비,939068.0
202507,계림1동,관광총소비,1201766.0
202508,계림1동,관광총소비,974062.0
202509,계림1동,관광총소비,950026.0
202510,계림1동,관광총소비,1024504.0
202511,계림1동,관광총소비,896984.0
202512,계림1동,관광총소비,1017820.0
202501,계림1동,레저용품쇼핑,10535.0
202501,계림1동,기타레저,26353.0
202501,계림1동,기타숙박,22303.0
202501,계림1동,육상운송,105.0
202501,계림1동,기타관광쇼핑,466414.0
202501,계림1동,뷰티,118877.0
202501,계림1동,일반외식업,287706.0
202501,계림1동,제과음료업,50736.0
202502,계림1동,기타숙박,31169.0
202502,계림1동,레저용품쇼핑,5470.0
202502,계림1동,육상운송,43.0
202502,계림1동,기타관광쇼핑,329858.0
202502,계림1동,기타레저,29728.0
202502,계림1동,뷰티,170556.0
202502,계림1동,일반외식업,308103.0
202502,계림1동,제과음료업,42406.0
202503,계림1동,기타숙박,31846.0
202503,계림1동,레저용품쇼핑,9503.0
202503,계림1동,육상운송,61.0
202503,계림1동,기타관광쇼핑,385381.0
202503,계림1동,기타레저,19672.0
202503,계림1동,뷰티,260776.0
202503,계림1동,일반외식업,350776.0
202503,계림1동,제과음료업,49448.0
202504,계림1동,기타숙박,35553.0
202504,계림1동,레저용품쇼핑,8494.0
202504,계림1동,육상운송,11.0
202504,계림1동,기타관광쇼핑,357998.0
202504,계림1동,기타레저,17962.0
202504,계림1동,뷰티,201765.0
202504,계림1동,일반외식업,269252.0
202504,계림1동,제과음료업,50077.0
202505,계림1동,기타숙박,55251.0
202505,계림1동,레저용품쇼핑,5753.0
202505,계림1동,육상운송,11.0
202505,계림1동,기타관광쇼핑,370691.0
202505,계림1동,기타레저,20459.0
202505,계림1동,뷰티,196129.0
202505,계림1동,일반외식업,362832.0
202505,계림1동,제과음료업,49580.0
202506,계림1동,기타숙박,42401.0
202506,계림1동,레저용품쇼핑,8969.0
202506,계림1동,기타레저,17248.0
202506,계림1동,육상운송,112.0
202506,계림1동,기타관광쇼핑,352849.0
202506,계림1동,뷰티,172304.0
202506,계림1동,일반외식업,296275.0
202506,계림1동,제과음료업,48908.0
202507,계림1동,기타숙박,52527.0
202507,계림1동,레저용품쇼핑,16483.0
202507,계림1동,육상운송,110.0
202507,계림1동,기타관광쇼핑,372956.0
202507,계림1동,기타레저,32471.0
202507,계림1동,뷰티,261628.0
202507,계림1동,일반외식업,401324.0
202507,계림1동,제과음료업,64268.0
202508,계림1동,기타숙박,32749.0
202508,계림1동,레저용품쇼핑,8349.0
202508,계림1동,기타관광쇼핑,357601.0
202508,계림1동,기타레저,24477.0
202508,계림1동,뷰티,193048.0
202508,계림1동,일반외식업,303615.0
202508,계림1동,제과음료업,54223.0
202509,계림1동,기타숙박,32094.0
202509,계림1동,레저용품쇼핑,5859.0
202509,계림1동,육상운송,54.0
202509,계림1동,대형쇼핑몰,18842.0
202509,계림1동,기타관광쇼핑,357981.0
202509,계림1동,기타레저,23154.0
202509,계림1동,뷰티,197308.0
202509,계림1동,일반외식업,266886.0
202509,계림1동,제과음료업,47847.0
202510,계림1동,레저용품쇼핑,7499.0
202510,계림1동,기타숙박,18362.0
202510,계림1동,육상운송,54.0
202510,계림1동,대형쇼핑몰,55622.0
202510,계림1동,기타관광쇼핑,374653.0
202510,계림1동,기타레저,15493.0
202510,계림1동,뷰티,229315.0
202510,계림1동,일반외식업,271221.0
202510,계림1동,제과음료업,52285.0
202511,계림1동,기타숙박,18371.0
202511,계림1동,레저용품쇼핑,10065.0
202511,계림1동,캠핑장/펜션,346.0
202511,계림1동,대형쇼핑몰,49952.0
202511,계림1동,기타관광쇼핑,305373.0
202511,계림1동,기타레저,20861.0
202511,계림1동,뷰티,168795.0
202511,계림1동,일반외식업,282558.0
202511,계림1동,제과음료업,40663.0
202512,계림1동,기타숙박,28246.0
202512,계림1동,레저용품쇼핑,13366.0
202512,계림1동,대형쇼핑몰,63226.0
202512,계림1동,기타관광쇼핑,283970.0
202512,계림1동,기타레저,20366.0
202512,계림1동,뷰티,266379.0
202512,계림1동,일반외식업,291626.0
202512,계림1동,제과음료업,50642.0
