기준년월,행정동명,중분류,소비액(천원)
202501,산수1동,관광총소비,1396857.0
202502,산수1동,관광총소비,1303060.0
202503,산수1동,관광총소비,1356789.0
202504,산수1동,관광총소비,1353994.0
202505,산수1동,관광총소비,1327312.0
202506,산수1동,관광총소비,1208133.0
202507,산수1동,관광총소비,1384092.0
202508,산수1동,관광총소비,1484153.0
202509,산수1동,관광총소비,1504885.0
202510,산수1동,관광총소비,1456296.0
202511,산수1동,관광총소비,1393216.0
202512,산수1동,관광총소비,1574215.0
202501,산수1동,기타숙박,3199.0
202501,산수1동,육상운송,744837.0
202501,산수1동,기타관광쇼핑,305070.0
202501,산수1동,기타레저,5125.0
202501,산수1동,뷰티,14777.0
202501,산수1동,일반외식업,230287.0
202501,산수1동,제과음료업,93561.0
202502,산수1동,기타숙박,2119.0
202502,산수1동,육상운송,781462.0
202502,산수1동,기타관광쇼핑,224265.0
202502,산수1동,기타레저,3359.0
202502,산수1동,뷰티,12237.0
202502,산수1동,일반외식업,222091.0
202502,산수1동,제과음료업,57528.0
202503,산수1동,기타숙박,5346.0
202503,산수1동,육상운송,774943.0
202503,산수1동,기타관광쇼핑,229733.0
202503,산수1동,기타레저,3071.0
202503,산수1동,뷰티,26171.0
202503,산수1동,일반외식업,246292.0
202503,산수1동,제과음료업,71234.0
202504,산수1동,기타숙박,8557.0
202504,산수1동,육상운송,779232.0
202504,산수1동,기타관광쇼핑,206725.0
202504,산수1동,골프장,3644.0
202504,산수1동,기타레저,3466.0
202504,산수1동,뷰티,26270.0
202504,산수1동,일반외식업,251448.0
202504,산수1동,제과음료업,74653.0
202505,산수1동,기타숙박,6155.0
202505,산수1동,여행업,49.0
202505,산수1동,육상운송,784256.0
202505,산수1동,기타관광쇼핑,200496.0
202505,산수1동,기타레저,3148.0
202505,산수1동,문화서비스,117.0
202505,산수1동,뷰티,20877.0
202505,산수1동,일반외식업,236406.0
202505,산수1동,제과음료업,75809.0
202506,산수1동,기타숙박,4638.0
202506,산수1동,육상운송,702110.0
202506,산수1동,기타관광쇼핑,186957.0
202506,산수1동,기타레저,4339.0
202506,산수1동,뷰티,20125.0
202506,산수1동,일반외식업,216496.0
202506,산수1동,제과음료업,73468.0
202507,산수1동,기타숙박,3664.0
202507,산수1동,육상운송,838595.0
202507,산수1동,기타관광쇼핑,194996.0
202507,산수1동,기타레저,3742.0
202507,산수1동,뷰티,39069.0
202507,산수1동,일반외식업,228160.0
202507,산수1동,제과음료업,75866.0
202508,산수1동,기타숙박,2777.0
202508,산수1동,육상운송,922319.0
202508,산수1동,기타관광쇼핑,210938.0
202508,산수1동,기타레저,3474.0
202508,산수1동,뷰티,23811.0
202508,산수1동,일반외식업,236453.0
202508,산수1동,제과음료업,84380.0
202509,산수1동,기타숙박,4552.0
202509,산수1동,기타관광쇼핑,282407.0
202509,산수1동,육상운송,857668.0
202509,산수1동,기타레저,5507.0
202509,산수1동,뷰티,28348.0
202509,산수1동,일반외식업,214963.0
202509,산수1동,제과음료업,111439.0
202510,산수1동,기타숙박,2972.0
202510,산수1동,육상운송,816636.0
202510,산수1동,기타관광쇼핑,269537.0
202510,산수1동,기타레저,11001.0
202510,산수1동,뷰티,28158.0
202510,산수1동,일반외식업,230641.0
202510,산수1동,제과음료업,97351.0
202511,산수1동,기타숙박,5674.0
202511,산수1동,육상운송,850044.0
202511,산수1동,기타관광쇼핑,192071.0
202511,산수1동,기타레저,4853.0
202511,산수1동,뷰티,29629.0
202511,산수1동,일반외식업,223736.0
202511,산수1동,제과음료업,87211.0
202512,산수1동,기타숙박,5963.0
202512,산수1동,육상운송,968937.0
202512,산수1동,기타관광쇼핑,219409.0
202512,산수1동,기타레저,9745.0
202512,산수1동,뷰티,21182.0
202512,산수1동,일반외식업,248379.0
202512,산수1동,제과음료업,100602.0
