기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율
계림1동,201341.0,5.6
계림2동,147777.0,4.1
동명동,374784.0,10.4
산수1동,233930.0,6.5
산수2동,74952.0,2.1
서남동,491680.0,13.7
지산1동,129658.0,3.6
지산2동,145502.0,4.1
지원1동,184100.0,5.1
지원2동,218351.0,6.1
충장동,816522.0,22.7
학동,320086.0,8.9
학운동,251230.0,7.0
