기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율
계림1동,196494.0,6.2
계림2동,81060.0,2.6
동명동,334726.0,10.6
산수1동,236282.0,7.5
산수2동,69436.0,2.2
서남동,396011.0,12.6
지산1동,115948.0,3.7
지산2동,132181.0,4.2
지원1동,169788.0,5.4
지원2동,196273.0,6.2
충장동,713895.0,22.6
학동,281148.0,8.9
학운동,229600.0,7.3
