기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율
계림1동,206640.0,5.9
계림2동,89460.0,2.6
동명동,389088.0,11.2
산수1동,247832.0,7.1
산수2동,70984.0,2.0
서남동,481506.0,13.9
지산1동,130830.0,3.8
지산2동,154578.0,4.5
지원1동,173873.0,5.0
지원2동,208324.0,6.0
충장동,784094.0,22.6
학동,294910.0,8.5
학운동,241118.0,6.9
