기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율
계림1동,196861.0,5.8
계림2동,123641.0,3.6
동명동,358740.0,10.5
산수1동,230380.0,6.8
산수2동,74196.0,2.2
서남동,454888.0,13.4
지산1동,113172.0,3.3
지산2동,131348.0,3.9
지원1동,172434.0,5.1
지원2동,226009.0,6.6
충장동,782530.0,23.0
학동,292187.0,8.6
학운동,246284.0,7.2
