기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율
계림1동,190340.0,6.4
계림2동,76881.0,2.6
동명동,320306.0,10.8
산수1동,217539.0,7.3
산수2동,63676.0,2.1
서남동,361330.0,12.2
지산1동,97394.0,3.3
지산2동,112287.0,3.8
지원1동,157003.0,5.3
지원2동,188570.0,6.4
충장동,687368.0,23.2
학동,278537.0,9.4
학운동,213619.0,7.2
