기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율
계림1동,191149.0,5.7
계림2동,130144.0,3.9
동명동,340616.0,10.2
산수1동,225418.0,6.7
산수2동,71530.0,2.1
서남동,440433.0,13.1
지산1동,115812.0,3.5
지산2동,127652.0,3.8
지원1동,170485.0,5.1
지원2동,220822.0,6.6
충장동,777620.0,23.2
학동,303149.0,9.0
학운동,236856.0,7.1
