기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율
계림1동,214585.0,6.3
계림2동,110218.0,3.2
동명동,370979.0,10.9
산수1동,238620.0,7.0
산수2동,71554.0,2.1
서남동,424270.0,12.4
지산1동,114384.0,3.3
지산2동,145880.0,4.3
지원1동,177636.0,5.2
지원2동,212373.0,6.2
충장동,787706.0,23.1
학동,302680.0,8.9
학운동,245014.0,7.2
