기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율
계림1동,192630.0,6.1
계림2동,76744.0,2.4
동명동,343150.0,10.9
산수1동,232155.0,7.4
산수2동,66556.0,2.1
서남동,413301.0,13.1
지산1동,109904.0,3.5
지산2동,128534.0,4.1
지원1동,165718.0,5.3
지원2동,197771.0,6.3
충장동,714413.0,22.7
학동,282292.0,9.0
학운동,227384.0,7.2
