기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율
계림1동,206160.0,6.2
계림2동,121614.0,3.6
동명동,352986.0,10.6
산수1동,232596.0,7.0
산수2동,68607.0,2.1
서남동,417392.0,12.5
지산1동,108941.0,3.3
지산2동,138960.0,4.2
지원1동,175046.0,5.2
지원2동,213742.0,6.4
충장동,746109.0,22.3
학동,308539.0,9.2
학운동,251332.0,7.5
