기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율
계림1동,178262.0,6.0
계림2동,117128.0,3.9
동명동,293573.0,9.9
산수1동,199640.0,6.7
산수2동,61128.0,2.1
서남동,376688.0,12.7
지산1동,100488.0,3.4
지산2동,113256.0,3.8
지원1동,152512.0,5.1
지원2동,201110.0,6.8
충장동,683560.0,23.0
학동,276500.0,9.3
학운동,213234.0,7.2
