기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율
계림1동,210868.0,6.3
계림2동,88144.0,2.6
동명동,374230.0,11.1
산수1동,237010.0,7.0
산수2동,71337.0,2.1
서남동,457331.0,13.6
지산1동,126494.0,3.8
지산2동,153304.0,4.5
지원1동,171024.0,5.1
지원2동,215708.0,6.4
충장동,753256.0,22.3
학동,281127.0,8.3
학운동,231668.0,6.9
