기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율
계림1동,183386.0,6.5
계림2동,73188.0,2.6
동명동,310740.0,10.9
산수1동,205702.0,7.2
산수2동,58152.0,2.0
서남동,354252.0,12.5
지산1동,99684.0,3.5
지산2동,109638.0,3.9
지원1동,152932.0,5.4
지원2동,174024.0,6.1
충장동,657338.0,23.2
학동,259672.0,9.1
학운동,200302.0,7.1
