기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율
계림1동,207802.0,5.7
계림2동,127690.0,3.5
동명동,392595.0,10.7
산수1동,239648.0,6.6
산수2동,74564.0,2.0
서남동,528745.0,14.5
지산1동,139727.0,3.8
지산2동,157426.0,4.3
지원1동,182844.0,5.0
지원2동,227199.0,6.2
충장동,808868.0,22.1
학동,316432.0,8.7
학운동,250736.0,6.9
